,label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
129,RmOlF3,A11l_R,19.87938213,41.32250786,-13.28567803,20.04253916,30.13516287,-15.18696466,Gray,Right MOrG medial orbital gyrus,Area Fo3,R Superior Orbital Gyrus,R OrG,Right frontal orbital 4 C,,Right frontal orbital 4 C
130,RmOlF4,A11l_R,24.67717457,41.32250786,-11.68744028,25.10847046,30.2134276,-13.15395164,White,Right POrG posterior orbital gyrus,Area Fo3,R IFG (p Orbitalis),R OrG,Right frontal orbital 4 D,WM,WM
131,RmOlF5,A11l_R,29.07515097,41.32250786,-10.08920252,29.75883152,30.49031216,-11.30779037,White,Right POrG posterior orbital gyrus,Area Fo3,R IFG (p Orbitalis),R OrG,Unknown,WM,WM
132,RmOlF6,A12/47o_R,33.8729434,40.92325658,-8.49096477,34.87669027,30.43282445,-9.541725963,White,Right Cerebral White Matter,Unknown,R IFG (p Orbitalis),R OrG,Unknown,WM,WM
133,RmOlF7,A12/47o_R,38.2709198,40.92325658,-6.892727017,39.57586361,30.88340889,-7.797372536,White,Right Cerebral White Matter,Unknown,R IFG (p Orbitalis),R OrG,Right pars orbitalis C,WM,WM
134,RmOlF8,A12/47l_R,43.06871223,40.92325658,-5.294489264,44.73346928,31.25689789,-5.920760752,White,Right OrIFG orbital part of the inferior frontal gyrus,Unknown,R IFG (p Orbitalis),R OrG,Right anterior pars triangularis B,WM,WM
135,RmOlF9,A45r_R,47.46668863,40.92325658,-3.696251512,49.48632088,31.4920605,-3.955477311,White,Right TrIFG triangular part of the inferior frontal gyrus,Area 45,R IFG (p Orbitalis),R IFG,Unknown,WM,WM
136,RsifO1,dIg_R,30.67441511,7.785400152,14.68348265,32.34027258,-5.856520552,12.95501123,White,Right Cerebral White Matter,Area OP3 [VS],R Putamen,R INS,Unknown,WM,WM
137,RsifO2,dIg_R,35.47220755,7.785400152,15.08304209,37.45988028,-5.725595828,13.58403469,Gray,Right AIns anterior insula,Area OP3 [VS],R Insula Lobe,R INS,Right posterior short insular gyrus A,,Right posterior short insular gyrus A
138,RsifO3,A1/2/3tonIa_R,40.66981602,7.785400152,15.48260152,42.92801622,-5.453787301,14.37283727,Gray,Right CO central operculum,Area OP3 [VS],R Rolandic Operculum,R PoG,Right somatosensory M,,Right somatosensory M
139,RsifO4,A1/2/3tonIa_R,45.46760845,7.785400152,15.88216096,47.90176111,-5.107675976,15.07789522,Gray,Right CO central operculum,Area OP3 [VS],R Rolandic Operculum,R PoG,Right somatosensory M,,Right somatosensory M
140,RsifO5,A1/2/3tonIa_R,50.66521692,7.785400152,16.2817204,53.24663806,-4.70271914,15.72099852,White,Right Cerebral White Matter,Unknown,R Rolandic Operculum,R PoG,Unknown,WM,WM
141,RsifO6,A4hf_R,55.46300936,7.785400152,16.2817204,58.18665122,-4.353392424,15.8146958,White,Right Cerebral White Matter,Unknown,R Rolandic Operculum,R PrG,Right posterior motor J,WM,WM
142,RsifO7,A1/2/3ulhf_R,60.66061783,7.38614887,16.68127984,63.56523716,-4.449542302,16.44133378,Gray,Right PoG postcentral gyrus,Area 3b,R Postcentral Gyrus,R PoG,Right somatosensory L,,Right somatosensory L
143,RsifO8,A1/2/3ulhf_R,66.25804234,7.38614887,17.08083928,69.44879446,-4.121328853,17.08334722,Unknown,Unknown,Unknown,R Postcentral Gyrus,R PoG,Right somatosensory L,OOB,OOB
