,label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
69,LsifO7,A4hf_L,-57.68492889,22.95694888,23.47379029,-60.10203537,3.609705215,25.12272557,Gray,Left PrG precentral gyrus,Area 44,L Precentral Gyrus,L PrG,Left posterior motor I,,Left posterior motor I
70,LsifO8,Unknown,-62.88253736,23.35620016,25.47158748,-65.55984279,3.572694652,27.5733764,Unknown,Unknown,Unknown,Unknown,Unknown,Left posterior motor I,OOB,OOB
71,RaCaS1,A14m_R,3.886740685,51.30378991,-12.08699971,2.6659368,39.44956635,-12.67480429,Gray,Right MSFG superior frontal gyrus medial segment,Area s32,R Mid Orbital Gyrus,R OrG,Right frontal pole 1 C,,Right frontal pole 1 C
72,RaCaS10,A9l_R,15.0815897,62.08357453,30.66586018,14.34132554,49.36533532,38.56038925,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 2 C,,Right superior frontal gyrus 2 C
73,RaCaS11,A9l_R,16.68085384,62.8820771,35.061014,16.02644194,50.08117227,43.76803586,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 2 D,,Right superior frontal gyrus 2 D
74,RaCaS12,Unknown,17.88030195,63.68057966,40.25528669,17.32090317,50.80243392,49.99112662,Unknown,Unknown,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,OOB,OOB
75,RaCaS2,A14m_R,5.486004829,52.50154376,-7.292286456,4.299095558,40.53785065,-6.779341441,Gray,Right ACgG anterior cingulate gyrus,Area s32,R Mid Orbital Gyrus,R OrG,Right cingulate gyrus D,,Right cingulate gyrus D
76,RaCaS3,A32sg_R,6.285636902,53.69929761,-2.897132635,5.068294055,41.61801679,-1.424554825,Gray,Right ACgG anterior cingulate gyrus,Unknown,R ACC,R CG,Right cingulate gyrus E,,Right cingulate gyrus E
77,RaCaS4,A32sg_R,7.485085011,54.89705145,1.897580624,6.30713106,42.72370934,4.364958568,Gray,Right ACgG anterior cingulate gyrus,Unknown,R ACC,R CG,Right cingulate gyrus E,,Right cingulate gyrus E
78,RaCaS5,A32sg_R,8.684533119,56.0948053,6.692293882,7.576093226,43.8472234,10.11402299,Gray,Right ACgG anterior cingulate gyrus,Unknown,R ACC,R CG,Right cingulate gyrus F,,Right cingulate gyrus F
79,RaCaS6,A32sg_R,9.883981228,57.29255915,11.48700714,8.850064326,44.96778675,15.84482634,White,Right MSFG superior frontal gyrus medial segment,Unknown,R ACC,R CG,Right frontal pole 4 A,WM,WM
80,RaCaS7,A9m_R,11.08342934,58.49031299,16.2817204,9.990353422,46.03556593,21.50141663,Gray,Right MSFG superior frontal gyrus medial segment,Unknown,R ACC,R SFG,Right superior frontal gyrus 1 A,,Right superior frontal gyrus 1 A
81,RaCaS8,A9m_R,12.28287745,59.68806684,20.67687422,11.18278551,47.1095976,26.68490521,Gray,Right Cerebral White Matter,Unknown,R Superior Medial Gyrus,R SFG,Unknown,Right superior frontal gyrus 1 A,Right superior frontal gyrus 1 A
82,RaCaS9,A9l_R,13.88214159,60.88582069,25.47158748,12.93661012,48.21189914,32.34710766,White,Right Cerebral White Matter,Unknown,R Superior Medial Gyrus,R SFG,Right superior frontal gyrus 1 D,WM,WM
83,RAglT1,mAmyg_R,19.4795661,7.785400152,-13.68523747,20.34281413,-4.694494512,-20.43126258,Gray,Right Amygdala,Amygdala (SF),R Hippocampus,R Amyg,Right amygdala superior,,Right amygdala superior
84,RAglT10,A21r_R,65.05859423,6.986897588,-15.28347522,67.70522142,-3.328159191,-21.48870336,Unknown,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,OOB,OOB
85,RAglT2,mAmyg_R,24.67717457,7.785400152,-13.68523747,25.81785535,-4.408324122,-20.20955437,Gray,Right Amygdala,Amygdala (LB),R Hippocampus,R Amyg,Right amygdala superior,,Right amygdala superior
86,RAglT3,lAmyg_R,29.474967,7.785400152,-13.68523747,30.87377826,-4.120402503,-19.95869879,Gray,Right Cerebral White Matter,Amygdala (LB),R Amygdala,R Amyg,Right amygdala superior,,Right amygdala superior
87,RAglT4,Unknown,34.67257547,7.38614887,-13.68523747,36.38678209,-4.245799939,-19.78196636,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Right superior temporal gyrus A,WM,WM
88,RAglT5,A38l_R,39.47036791,7.38614887,-13.68523747,41.35262021,-4.098936598,-19.80552631,White,Right PP planum polare,Area Id1,Unknown,R STG,Right superior temporal gyrus A,WM,WM
89,RAglT6,A22r_R,44.66797638,7.38614887,-13.68523747,46.7323605,-4.017118976,-19.99011642,Gray,Right STG superior temporal gyrus,Area Id1,R Middle Temporal Gyrus,R STG,Right superior middle temporal gyrus A,,Right superior middle temporal gyrus A
90,RAglT7,aSTS_R,49.46576881,7.38614887,-14.08479691,51.60230792,-3.888762318,-20.57544488,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,,Right superior middle temporal gyrus A
91,RAglT8,aSTS_R,54.66337729,7.38614887,-14.08479691,56.90669427,-3.66177506,-20.49538668,White,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,WM,WM
92,RAglT9,A21r_R,59.86098576,7.38614887,-14.48435634,62.2421519,-3.324952494,-20.73407324,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,,Right superior middle temporal gyrus A
93,RaImM1,vIa_R,35.87202358,22.95694888,-10.8883214,37.43651589,12.01753112,-14.96496997,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right middle short insular gyrus C,,Right middle short insular gyrus C
94,RaImM10,Unknown,32.27367926,30.94197452,33.46277624,33.69949533,17.83467446,38.25772066,Gray,Right Cerebral White Matter,Unknown,R Middle Frontal Gyrus,Unknown,Unknown,Right middle frontal gyrus 5 B,Right middle frontal gyrus 5 B
95,RaImM11,A6vl_R,31.87386322,31.74047709,38.2574895,33.25969699,18.47158073,44.23784575,Gray,Right MFG middle frontal gyrus,Unknown,R Middle Frontal Gyrus,R MFG,Unknown,Right middle frontal gyrus 5 B,Right middle frontal gyrus 5 B
96,RaImM12,A9/46d_R,31.47404718,32.93823093,43.4517622,32.7727187,19.52275702,50.72694789,White,Right MFG middle frontal gyrus,Unknown,R Middle Frontal Gyrus,R MFG,Unknown,WM,WM
97,RaImM13,A8vl_R,31.07423115,33.7367335,48.24647546,32.34898242,20.27811185,56.74026546,Gray,Right MFG middle frontal gyrus,Unknown,R Middle Frontal Gyrus,R MFG,Right middle frontal gyrus 6 A,,Right middle frontal gyrus 6 A
98,RaImM14,Unknown,31.07423115,34.53523606,53.04118872,32.47496126,21.09679412,62.77937244,Unknown,Unknown,Unknown,R Middle Frontal Gyrus,Unknown,Unknown,OOB,OOB
99,RaImM2,vIa_R,35.47220755,23.75545144,-5.694048703,37.19797228,12.50550465,-8.865804747,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right middle short insular gyrus B,,Right middle short insular gyrus B
100,RaImM3,dIa_R,35.07239151,24.55395401,-0.899335444,36.78864364,13.00670352,-3.26469882,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right middle short insular gyrus B,,Right middle short insular gyrus B
