label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,
LmCmS2,A24rv_L,-3.5473268,12.1481838,30.7196789,-3.99931,4.41541267,31.7550806,Gray,Left MCgG middle cingulate gyrus,Area 33,L MCC,L CG,Left cingulate gyrus J,WM,,
LmCmS3,A24cd_L,-5.1437361,12.1481838,35.1151953,-5.995943,4.89334297,36.9941172,Gray,Left MCgG middle cingulate gyrus,Unknown,L MCC,L CG,Left cingulate gyrus J,,,
LmCmS4,A24cd_L,-6.7401454,12.1481838,39.9103041,-7.94052,5.41352207,42.6378703,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L CG,Left superior frontal gyrus 5 A,WM,,
LmCmS5,A8m_L,-8.3365548,12.1481838,44.7054129,-9.7459921,5.99083968,48.2966695,Gray,Left SMC supplementary motor cortex,Unknown,L Posterior-Medial Frontal,L SFG,Left superior frontal gyrus 5 A,,,
LmCmS6,A8m_L,-9.9329641,12.5479364,49.5005217,-11.59988,7.07965544,53.8626641,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 B,WM,,
LmCmS7,A6dl_L,-11.529373,12.5479364,54.2956305,-13.276918,7.76475122,59.5183042,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,,
LmCmS8,A6dl_L,-13.125783,12.5479364,59.0907393,-14.884679,8.5316116,65.2635754,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 D,WM,,
LmCmS9,A6dl_L,-15.121294,12.5479364,63.4862556,-17.021274,9.2655963,70.5660249,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 D,,,
LmOlF1,A13_L,-8.3365548,42.5293827,-8.0407839,-8.6164839,32.9401834,-22.514465,Gray,Left GRe gyrus rectus,Area Fo1,L Rectal Gyrus,L OrG,Left frontal orbital 4 A,,,
LmOlF2,A11m_L,-12.72668,42.5293827,-5.2436371,-13.735087,33.4314606,-19.285919,White,Left MOrG medial orbital gyrus,Area Fo1,L Superior Orbital Gyrus,L OrG,Left frontal orbital 4 A,WM,,
LmOlF3,A11l_L,-16.318601,42.1296301,-2.4464903,-17.953038,33.4848507,-15.876771,White,Left MOrG medial orbital gyrus,Area Fo3,L Middle Orbital Gyrus,L OrG,Left frontal orbital 4 C,WM,,
LmOlF4,A11l_L,-20.708727,42.1296301,0.35065651,-23.114645,33.9385408,-12.677827,Gray,Left MOrG medial orbital gyrus,Area Fo3,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,,,
LmOlF5,A11l_L,-24.300648,41.7298775,3.14780331,-27.353881,33.9044162,-9.2984415,Gray,Left POrG posterior orbital gyrus,Area Fo3,L IFG (p Orbitalis),L OrG,Left frontal orbital 4 D,,,
LmOlF6,A12/47o_L,-28.291671,41.3301249,5.9449501,-32.036163,33.724946,-5.7751939,White,Left Cerebral White Matter,Unknown,L IFG (p Orbitalis),L OrG,Unknown,WM,,
