label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,
RaLmF13,A8dl_R,18.8024037,24.9402676,48.7013369,21.4389477,22.4739273,50.3563825,White,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 4 D,WM,,
RaLmF14,A8dl_R,16.4077897,27.7385359,53.8960381,18.5703519,26.2844037,55.8188724,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 4 D,,,
RaLmF15,A8dl_R,16.0086874,28.9377937,58.6911469,17.9449632,28.2127439,61.0438238,Unknown,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 4 D,OOB,,
RaLmF16,Unknown,15.609585,30.5368042,63.4862556,17.3631869,30.722238,66.2448362,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,
RaLmF2,vId/vIg_R,31.5736783,9.74966812,-1.2477131,37.6271453,-2.0925316,-6.2543051,Gray,Right PIns posterior insula,Unknown,Unknown,R INS,Right anterior long insular gyrus C,,,
RaLmF3,dIg_R,30.3763713,10.948926,3.54739571,36.2725107,0.05311966,-0.5176218,Gray,Right Cerebral White Matter,Unknown,R Putamen,R INS,Right posterior short insular gyrus B,,,
RaLmF4,dId_R,29.1790643,12.1481838,7.9429121,34.9636495,2.11891665,4.66908999,Gray,Right AIns anterior insula,Unknown,R Putamen,R INS,Right posterior short insular gyrus B,,,
RaLmF5,dId_R,27.9817573,13.7471943,12.7380209,33.524417,4.65450101,10.1572643,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right middle short insular gyrus A,,,
RaLmF6,dId_R,26.7844503,14.9464521,17.1335373,31.9691226,6.67958257,15.1760394,White,Right Cerebral White Matter,Unknown,Unknown,R INS,Unknown,WM,,
RaLmF7,Unknown,25.5871433,16.5454626,21.9286461,30.2787393,9.21901057,20.5490186,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,
RaLmF8,Unknown,24.3898363,17.7447205,26.7237549,28.5447769,11.3038162,25.9976193,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,
RaLmF9,Unknown,23.1925293,19.3437309,31.1192713,26.9401994,13.8100622,30.9233985,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,
LHpIT1,rHipp_L,-20.708727,0.95511055,-14.434262,-22.043473,-14.627221,-21.492429,Gray,Left Hippocampus,CA2 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,,
LHpIT10,Unknown,-64.210881,-5.4409313,-6.4424143,-72.623225,-22.398665,-11.794407,Unknown,Unknown,Unknown,Unknown,Unknown,Left superior middle temporal gyrus C,OOB,,
LHpIT2,rHipp_L,-25.497955,0.15560532,-13.635077,-27.674157,-15.481358,-20.490896,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,,
LHpIT3,cHipp_L,-30.287183,-0.2441473,-12.835893,-33.296749,-15.826496,-19.539031,Gray,Left Hippocampus,CA1 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,,
LHpIT4,A20rv_L,-35.475513,-1.0436525,-12.036708,-39.29195,-16.793511,-18.62213,White,Left Cerebral White Matter,CA1 (Hippocampus),L Fusiform Gyrus,L FuG,Unknown,WM,,
LHpIT5,Unknown,-40.264741,-1.8431578,-11.237523,-44.746495,-17.783499,-17.66987,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,Unknown,Unknown,WM,,
LHpIT6,aSTS_L,-45.053969,-2.642663,-10.038746,-50.269746,-18.66221,-16.055244,Gray,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L MTG,Unknown,,,
LHpIT7,aSTS_L,-49.843197,-3.4421682,-9.2395611,-55.796493,-19.730439,-15.179631,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,WM,,
LHpIT8,aSTS_L,-54.632425,-3.8419209,-8.4403763,-61.372627,-20.360552,-14.399308,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,WM,,
LHpIT9,A21c_L,-60.61896,-4.6414261,-7.2415991,-68.301813,-21.454424,-12.901932,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus C,OOB,,
RmCmS1,A24rv_R,4.03561747,18.1444731,26.7237549,4.74940471,11.043197,25.5635961,Gray,Right MCgG middle cingulate gyrus,Area 33,R ACC,R CG,Right cingulate gyrus I,,,
RmCmS10,Unknown,23.5916317,27.7385359,64.2854404,26.5052362,28.2114796,67.8734326,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,,
RmCmS2,Unknown,6.03112912,19.3437309,30.7196789,7.0132482,12.9958088,30.0466317,Gray,Right MCgG middle cingulate gyrus,Area 33,R MCC,Unknown,Unknown,WM,,
RmCmS3,A32p_R,8.02664077,20.5429888,35.1151953,9.2739188,15.0472884,35.0249899,Gray,Right MCgG middle cingulate gyrus,Unknown,R MCC,R CG,Right cingulate gyrus I,,,
RmCmS4,A8m_R,10.0221524,21.342494,39.5107117,11.5483271,16.6547802,40.0840321,White,Right SMC supplementary motor cortex,Unknown,R MCC,R SFG,Right superior frontal gyrus 4 A,WM,,
RmCmS5,Unknown,12.4167664,22.5417519,43.9062281,14.2121081,18.736154,45.0778359,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,WM,,
RmCmS6,Unknown,14.8113804,23.7410097,48.3017445,16.7893048,20.8069064,50.048494,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,WM,,
RmCmS7,A8dl_R,16.4077897,24.5405149,51.8980761,18.6173993,22.2871659,54.1192652,White,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 4 D,WM,,
